# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
  0.00663089    0.0153241      1.83978     0.365056     0.337801      9.73443
  0.00810028    0.0167153      1.81008     0.405802     0.341679      9.50764
  0.00972382    0.0181129      1.78234     0.444427      0.34281      9.29614
   0.0115116    0.0195191      1.75511       0.4812     0.341787      9.08936
   0.0134592    0.0209253      1.72852     0.515901     0.338791      8.88845
   0.0155623    0.0223259      1.70304     0.548344     0.334116      8.69675
   0.0178188    0.0237181      1.67908     0.578481     0.327985      8.51702
   0.0202437    0.0251091      1.65682     0.606495     0.320637      8.35013
   0.0228561    0.0265056      1.63615     0.632557     0.312302      8.19506
   0.0256561     0.027903      1.61693     0.656828     0.303277       8.0505
   0.0286454    0.0292987      1.59899     0.679444     0.293816      7.91508
   0.0318273    0.0306907      1.58238     0.700681     0.284149      7.78913
   0.0352077    0.0320786       1.5671     0.720373     0.274273      7.67281
   0.0387937    0.0334618        1.553     0.738572     0.264175      7.56495
   0.0425941    0.0348404      1.53952     0.755621     0.254104      7.46148
    0.046624     0.036216      1.52637      0.77169     0.244152      7.36031
   0.0508931    0.0375875      1.51357     0.786838     0.234282      7.26175
   0.0554084    0.0389529      1.50122     0.801053     0.224472      7.16656
   0.0601779    0.0403105      1.48947     0.814312     0.214692      7.07582
   0.0652101    0.0416584      1.47843     0.826611     0.204937      6.99022
   0.0705143    0.0429948      1.46814     0.837966     0.195211      6.91005
   0.0760996    0.0443178      1.45858     0.848436     0.185531      6.83516
   0.0819759    0.0456251      1.44964     0.858105     0.175932      6.76481
   0.0881531    0.0469145      1.44117     0.867058     0.166459      6.69797
   0.0946421    0.0481838      1.43301     0.875334     0.157151      6.63362
    0.101458    0.0494051      1.42507     0.882918     0.148011      6.57133
     0.10861    0.0505301      1.41747     0.889816     0.138941      6.51169
    0.116089    0.0516232      1.41031     0.896059      0.12991      6.45525
    0.123903    0.0526813      1.40354     0.901669        0.121      6.40173
    0.132063    0.0537015      1.39709     0.906686     0.112246      6.35068
     0.14058    0.0546809      1.39094      0.91114     0.103648      6.30196
     0.14947     0.055617       1.3851     0.915066    0.0952039      6.25567
    0.158736    0.0565056      1.37959      0.91851    0.0869185      6.21201
    0.168356    0.0573403      1.37439     0.921528    0.0788037      6.17097
    0.178344    0.0581188      1.36948     0.924174    0.0708748      6.13232
    0.188722    0.0588387      1.36483     0.926487    0.0631397      6.09599
     0.19949    0.0594961      1.36046     0.928494    0.0556023      6.06206
    0.210613     0.060097      1.35641     0.930188    0.0482663      6.03072
    0.222117    0.0606283      1.35272     0.931536    0.0411284      6.00226
    0.234015    0.0610869      1.34946     0.932504    0.0341814      5.97701
    0.246257    0.0614683      1.34667     0.933066    0.0274195      5.95523
    0.258874    0.0617709      1.34437     0.933217    0.0208425      5.93698
     0.27185    0.0619923      1.34255     0.932988    0.0144546      5.92215
    0.285156      0.06213      1.34116     0.932437   0.00825753      5.91037
    0.298818     0.062183      1.34012     0.931641   0.00225936      5.90114
    0.312779    0.0621433      1.33935     0.930679  -0.00353612      5.89378
    0.327065     0.062016      1.33872     0.929618  -0.00912404      5.88765
    0.341626    0.0618018      1.33818     0.928497   -0.0144981      5.88223
    0.356469    0.0615006      1.33765     0.927333   -0.0196577      5.87713
    0.371553    0.0611139       1.3371     0.926127   -0.0246047      5.87214
    0.386876    0.0606422      1.33652     0.924872   -0.0293408      5.86716
    0.402398    0.0600861       1.3359     0.923561   -0.0338692      5.86209
     0.41811    0.0594371      1.33523     0.922196   -0.0381933      5.85681
    0.433971    0.0587107      1.33447     0.920782   -0.0423144      5.85118
    0.449969    0.0579092       1.3336     0.919323   -0.0462345      5.84502
    0.466065    0.0570369      1.33261     0.917821   -0.0499564       5.8382
    0.482241     0.056097      1.33146     0.916278    -0.053486      5.83057
     0.49846    0.0550942      1.33016     0.914693   -0.0568292      5.82203
    0.514698    0.0540336      1.32867     0.913063   -0.0599913      5.81249
    0.530924    0.0529189      1.32701     0.911381   -0.0629793      5.80195
     0.54711    0.0517547      1.32518     0.909635   -0.0657996      5.79046
    0.563225    0.0505459       1.3232     0.907815   -0.0684602      5.77816
    0.579247    0.0492971      1.32112      0.90591   -0.0709696      5.76524
    0.595139    0.0480139      1.31896     0.903918   -0.0733349      5.75191
