x y rho u v p
0.856165 0.020988 1.376889 0.848036 -0.016487 6.110870
0.865531 0.019824 1.376221 0.847957 -0.016964 6.106897
0.874553 0.018690 1.375548 0.847877 -0.017444 6.102900
0.883229 0.017588 1.374873 0.847796 -0.017926 6.098886
0.891541 0.016523 1.374197 0.847715 -0.018409 6.094867
0.899489 0.015494 1.373488 0.847630 -0.018916 6.090647
0.907123 0.014486 1.372703 0.847537 -0.019477 6.085975
0.914438 0.013510 1.371869 0.847440 -0.020074 6.081002
0.921423 0.012570 1.371021 0.847340 -0.020681 6.075948
0.928077 0.011668 1.370166 0.847240 -0.021294 6.070849
0.934439 0.010798 1.369302 0.847138 -0.021913 6.065698
0.940521 0.009959 1.368431 0.847035 -0.022537 6.060508
0.946326 0.009153 1.367553 0.846933 -0.023167 6.055272
0.951850 0.008381 1.366457 0.846801 -0.023954 6.048731
0.962082 0.006936 1.364930 0.846616 -0.025049 6.039624
0.971385 0.005606 1.363190 0.846408 -0.026300 6.029237
0.979741 0.004398 1.361490 0.846203 -0.027523 6.019090
0.987291 0.003296 1.359509 0.846050 -0.028965 6.007228
0.994101 0.002292 1.349669 0.844392 -0.035871 5.947951
1.003166 0.000001 1.388788 0.848407 0.000017 6.182549
0.995489 -0.003497 1.392090 0.848977 0.005374 6.202291
0.988020 -0.005030 1.395756 0.849587 0.002904 6.224312
0.980063 -0.006315 1.396225 0.849635 0.002584 6.227144
0.971643 -0.007605 1.396506 0.849665 0.002394 6.228833
0.962397 -0.009006 1.396764 0.849693 0.002219 6.230387
0.957388 -0.009758 1.396945 0.849712 0.002096 6.231475
0.952120 -0.010543 1.397086 0.849727 0.002000 6.232325
0.946609 -0.011359 1.397223 0.849741 0.001907 6.233153
0.940832 -0.012208 1.397356 0.849755 0.001816 6.233957
0.934768 -0.013092 1.397486 0.849769 0.001728 6.234737
